Stable ID	Area or source	Usage	English source	Spanish draft	Translator correction	Review status	Translator notes	Protected placeholders
GW-0001	LibraryView.swift	Visible interface	%@ and everything inside it will move to Recently Deleted.	%@ y todo su contenido se moverán a Eliminados recientemente.		Needs review		%@
GW-0002	DocumentStore.swift	Visible interface	%@ is not yet available on this device.	%@ todavía no está disponible en este dispositivo.		Needs review		%@
GW-0003	RecentlyDeletedView.swift	Visible interface	%@ will be permanently deleted. This cannot be undone.	%@ se eliminará permanentemente. Esta acción no se puede deshacer.		Needs review		%@
GW-0004	LibraryView.swift	Visible interface	%@ will move to Recently Deleted, where it can be restored or deleted permanently.	%@ se moverá a Eliminados recientemente, donde se podrá restaurar o eliminar permanentemente.		Needs review		%@
GW-0005	RecentlyDeletedView.swift	Visible interface	%@, deleted %@	%@, eliminado %@		Needs review		%@, %@
GW-0006	FolderRow.swift	Visible interface	%@, folder, %lld %@	%@, carpeta, %lld %@		Needs review		%@, %lld, %@
GW-0007	OutlineView.swift	Visible interface	%@, heading level %lld	%@, encabezado de nivel %lld		Needs review		%@, %lld
GW-0008	DocumentStore.swift	Visible interface	%@: The text file must use UTF-8 encoding.	%@: El archivo de texto debe usar la codificación UTF-8.		Needs review		%@
GW-0009	BRFOptionsView.swift	Visible interface	%lld	%lld		Needs review		%lld
GW-0010	FolderRow.swift	Visible interface	%lld %@	%lld %@		Needs review		%lld, %@
GW-0011	TableInsertionView.swift	Visible interface	%lld columns	%lld columnas		Needs review		%lld
GW-0012	RecentlyDeletedView.swift	Visible interface	%lld deleted items	%lld elementos eliminados		Needs review		%lld
GW-0013	LibraryView.swift	Visible interface	%lld items	%lld elementos		Needs review		%lld
GW-0014	TableInsertionView.swift	Visible interface	%lld rows	%lld filas		Needs review		%lld
GW-0015	TableInsertionView.swift	Visible interface	1 column	1 columna		Needs review		
GW-0016	RecentlyDeletedView.swift	Visible interface	1 deleted item	1 elemento eliminado		Needs review		
GW-0017	LibraryView.swift	Visible interface	1 item	1 elemento		Needs review		
GW-0018	AppSettings.swift	Visible interface	2 Spaces	2 espacios		Needs review		
GW-0019	AppSettings.swift	Visible interface	4 Spaces	4 espacios		Needs review		
GW-0020	DocumentStore.swift	Visible interface	A folder cannot be moved inside itself.	Una carpeta no se puede mover dentro de sí misma.		Needs review		
GW-0021	SortOrder.swift	Visible interface	A to Z	De la A a la Z		Needs review		
